weekend_of,sampled_at,theatre_name,tz,show_date,day_of_week,showtime,showtime_id,auditorium_type,adult_price,child_price,senior_price,convenience_fee,all_prices,raw_bytes
2026-09-18,2026-09-19T14:34:35Z,AMC Port St Lucie 14,ET,2026-09-18,Friday,9:15pm,147027416,Thrills & Chills,13.9,10.69,12.29,2.69,"{""Adult"":13.9,""Child"":10.69,""Senior"":12.29}",9199
2026-09-18,2026-09-19T14:34:37Z,AMC DINE-IN Disney Springs 24,ET,2026-09-18,Friday,9:15pm,147141703,Dine-In Delivery to Seat,20.22,17.03,18.63,2.69,"{""Adult"":20.22,""Child"":17.03,""Senior"":18.63}",9527
2026-09-18,2026-09-19T14:34:38Z,AMC DINE-IN Disney Springs 24,ET,2026-09-18,Friday,8:00pm,147141519,XL at AMC,19.69,16.5,18.09,2.99,"{""Adult"":19.69,""Child"":16.5,""Senior"":18.09}",9331
2026-09-18,2026-09-19T14:34:40Z,AMC DINE-IN Disney Springs 24,ET,2026-09-18,Friday,8:30pm,146569692,Dolby Cinema at AMC,24.48,21.29,22.89,2.99,"{""Adult"":24.48,""Child"":21.29,""Senior"":22.89}",9420
2026-09-18,2026-09-19T14:34:41Z,AMC DINE-IN Disney Springs 24,ET,2026-09-18,Friday,9:30pm,146569963,Laser at AMC,17.56,14.37,15.96,2.69,"{""Adult"":17.56,""Child"":14.37,""Senior"":15.96}",9321
2026-09-18,2026-09-19T14:34:42Z,AMC DINE-IN Disney Springs 24,ET,2026-09-19,Saturday,4:15pm,146569921,Open Caption (On-screen Subtitles),17.56,14.37,15.96,2.69,"{""Adult"":17.56,""Child"":14.37,""Senior"":15.96}",9265
2026-09-18,2026-09-19T14:34:43Z,AMC DINE-IN Disney Springs 24,ET,2026-09-17,Thursday,7:30pm,146569958,English Spoken with Spanish Subtitles,17.56,14.37,15.96,2.69,"{""Adult"":17.56,""Child"":14.37,""Senior"":15.96}",8873
2026-09-18,2026-09-19T14:34:44Z,AMC Hickory 15,ET,2026-09-18,Friday,5:30pm,146524242,Open Caption (On-screen Subtitles),14.43,11.22,12.83,2.69,"{""Adult"":14.43,""Child"":11.22,""Senior"":12.83}",9116
2026-09-18,2026-09-19T14:34:45Z,AMC Hickory 15,ET,2026-09-18,Friday,9:30pm,146524355,Dolby Cinema at AMC,20.85,17.64,19.25,2.99,"{""Adult"":20.85,""Child"":17.64,""Senior"":19.25}",9354
2026-09-18,2026-09-19T14:34:46Z,AMC Hickory 15,ET,2026-09-18,Friday,10:20pm,146524284,Thrills & Chills,14.43,11.22,12.83,2.69,"{""Adult"":14.43,""Child"":11.22,""Senior"":12.83}",9177
2026-09-18,2026-09-19T14:34:49Z,AMC Barrett Commons 24,ET,2026-09-18,Friday,7:45pm,146590337,Dolby Cinema at AMC,24.9,21.72,23.31,2.99,"{""Adult"":24.9,""Child"":21.72,""Senior"":23.31}",9369
2026-09-18,2026-09-19T14:34:50Z,AMC Barrett Commons 24,ET,2026-09-18,Friday,8:30pm,146590325,IMAX with Laser at AMC,24.9,21.72,23.31,2.99,"{""Adult"":24.9,""Child"":21.72,""Senior"":23.31}",9419
2026-09-18,2026-09-19T14:34:51Z,AMC Barrett Commons 24,ET,2026-09-18,Friday,9:30pm,146590282,Laser at AMC,18.54,15.36,16.95,2.69,"{""Adult"":18.54,""Child"":15.36,""Senior"":16.95}",9376
2026-09-18,2026-09-19T14:34:53Z,AMC Bradley Square 12,ET,2026-09-18,Friday,7:30pm,146515902,BigD at AMC,16.45,13.16,14.81,2.99,"{""Adult"":16.45,""Child"":13.16,""Senior"":14.81}",9345
2026-09-18,2026-09-19T14:34:54Z,AMC Bradley Square 12,ET,2026-09-18,Friday,8:30pm,147132763,Thrills & Chills,13.16,9.87,11.51,2.69,"{""Adult"":13.16,""Child"":9.87,""Senior"":11.51}",9261
2026-09-18,2026-09-19T14:34:55Z,AMC Potomac Mills 18,ET,2026-09-18,Friday,7:55pm,146443220,Dolby Cinema at AMC,23.49,20.49,21.99,2.99,"{""Adult"":23.49,""Child"":20.49,""Senior"":21.99}",9384
2026-09-18,2026-09-19T14:34:56Z,AMC Potomac Mills 18,ET,2026-09-18,Friday,8:30pm,146443177,XL at AMC,18.49,15.49,16.99,2.99,"{""Adult"":18.49,""Child"":15.49,""Senior"":16.99}",9308
2026-09-18,2026-09-19T14:34:56Z,AMC Potomac Mills 18,ET,2026-09-18,Friday,9:05pm,146443206,IMAX with Laser at AMC,22.49,19.49,20.99,2.99,"{""Adult"":22.49,""Child"":19.49,""Senior"":20.99}",9385
2026-09-18,2026-09-19T14:34:58Z,AMC Potomac Mills 18,ET,2026-09-18,Friday,9:45pm,147129514,Open Caption (On-screen Subtitles),16.49,13.49,14.99,2.69,"{""Adult"":16.49,""Child"":13.49,""Senior"":14.99}",9293
2026-09-18,2026-09-19T14:34:59Z,AMC Potomac Mills 18,ET,2026-09-17,Thursday,7:45pm,146443176,Laser at AMC,16.49,13.49,14.99,2.69,"{""Adult"":16.49,""Child"":13.49,""Senior"":14.99}",8851
2026-09-18,2026-09-19T14:35:00Z,AMC Cherry Hill 24,ET,2026-09-18,Friday,8:45pm,147146167,Laser at AMC,15.98,12.78,14.38,2.69,"{""Adult"":15.98,""Child"":12.78,""Senior"":14.38}",9230
2026-09-18,2026-09-19T14:35:01Z,AMC Cherry Hill 24,ET,2026-09-18,Friday,6:00pm,146579897,English Spoken with Spanish Subtitles,15.98,12.78,14.38,2.69,"{""Adult"":15.98,""Child"":12.78,""Senior"":14.38}",9283
2026-09-18,2026-09-19T14:35:02Z,AMC Cherry Hill 24,ET,2026-09-18,Friday,9:15pm,146579948,IMAX with Laser at AMC,23.45,20.25,21.85,2.99,"{""Adult"":23.45,""Child"":20.25,""Senior"":21.85}",9413
2026-09-18,2026-09-19T14:35:02Z,AMC Cherry Hill 24,ET,2026-09-18,Friday,10:15pm,146579985,Dolby Cinema at AMC,23.45,20.25,21.85,2.99,"{""Adult"":23.45,""Child"":20.25,""Senior"":21.85}",9371
2026-09-18,2026-09-19T14:35:04Z,AMC Cherry Hill 24,ET,2026-09-20,Sunday,3:15pm,146579900,Open Caption (On-screen Subtitles),12.78,10.23,11.5,2.69,"{""Adult"":12.78,""Child"":10.23,""Senior"":11.5}",9954
2026-09-18,2026-09-19T14:35:04Z,AMC High Point 8,ET,2026-09-18,Friday,10:30pm,147228758,Thrills & Chills,14.4,11.2,12.8,2.69,"{""Adult"":14.4,""Child"":11.2,""Senior"":12.8}",9300
2026-09-18,2026-09-19T14:35:05Z,AMC Camp Creek 14,ET,2026-09-18,Friday,9:15pm,147227235,Thrills & Chills,14.69,11.42,13.06,2.69,"{""Adult"":14.69,""Child"":11.42,""Senior"":13.06}",9207
2026-09-18,2026-09-19T14:35:06Z,AMC Brick Plaza 10,ET,2026-09-18,Friday,8:15pm,147071168,Laser at AMC,17.05,13.85,15.45,2.69,"{""Adult"":17.05,""Child"":13.85,""Senior"":15.45}",9320
2026-09-18,2026-09-19T14:35:07Z,AMC Ridge Park Square 8,ET,2026-09-18,Friday,8:30pm,147046235,Thrills & Chills,15.44,12.35,13.89,2.69,"{""Adult"":15.44,""Child"":12.35,""Senior"":13.89}",9302
2026-09-18,2026-09-19T14:35:08Z,AMC DINE-IN Fashion District 8,ET,2026-09-18,Friday,9:15pm,146500595,PRIME at AMC,24.66,21.51,23.09,2.99,"{""Adult"":24.66,""Child"":21.51,""Senior"":23.09}",9466
2026-09-18,2026-09-19T14:35:08Z,AMC DINE-IN Fashion District 8,ET,2026-09-18,Friday,8:30pm,147100370,Dine-In Delivery to Seat,18.36,15.21,16.79,2.69,"{""Adult"":18.36,""Child"":15.21,""Senior"":16.79}",9488
2026-09-18,2026-09-19T14:35:10Z,AMC DINE-IN Fashion District 8,ET,2026-09-18,Friday,10:15pm,146500396,Dolby Cinema at AMC,24.66,21.51,23.09,2.99,"{""Adult"":24.66,""Child"":21.51,""Senior"":23.09}",9506
2026-09-18,2026-09-19T14:35:11Z,AMC DINE-IN North Point Mall 12,ET,2026-09-18,Friday,8:00pm,146459608,Dolby Cinema at AMC,27.47,24.23,25.85,2.99,"{""Adult"":27.47,""Child"":24.23,""Senior"":25.85}",9370
2026-09-18,2026-09-19T14:35:12Z,AMC DINE-IN North Point Mall 12,ET,2026-09-18,Friday,9:00pm,146459704,Laser at AMC,20.46,17.23,18.85,2.69,"{""Adult"":20.46,""Child"":17.23,""Senior"":18.85}",9346
2026-09-18,2026-09-19T14:35:13Z,AMC DINE-IN North Point Mall 12,ET,2026-09-18,Friday,10:00pm,146459570,IMAX with Laser at AMC,27.47,24.23,25.85,2.99,"{""Adult"":27.47,""Child"":24.23,""Senior"":25.85}",9433
2026-09-18,2026-09-19T14:35:14Z,AMC Broadstreet 7,ET,2026-09-18,Friday,8:00pm,146587413,Laser at AMC,16.26,13.11,14.69,2.69,"{""Adult"":16.26,""Child"":13.11,""Senior"":14.69}",9328
2026-09-18,2026-09-19T14:35:15Z,AMC Ridgefield Park 12,ET,2026-09-18,Friday,8:30pm,147154387,Thrills & Chills,16.52,13.32,14.92,2.69,"{""Adult"":16.52,""Child"":13.32,""Senior"":14.92}",9296
2026-09-18,2026-09-19T14:35:17Z,AMC Neshaminy 24,ET,2026-09-18,Friday,8:00pm,146414336,Dolby Cinema at AMC,21.99,18.99,20.49,2.99,"{""Adult"":21.99,""Child"":18.99,""Senior"":20.49}",9328
2026-09-18,2026-09-19T14:35:17Z,AMC Neshaminy 24,ET,2026-09-18,Friday,8:30pm,146414304,Laser at AMC,14.99,11.99,13.49,2.69,"{""Adult"":14.99,""Child"":11.99,""Senior"":13.49}",9236
2026-09-18,2026-09-19T14:35:18Z,AMC Neshaminy 24,ET,2026-09-18,Friday,9:00pm,146414018,IMAX with Laser at AMC,21.99,18.99,20.49,2.99,"{""Adult"":21.99,""Child"":18.99,""Senior"":20.49}",9383
2026-09-18,2026-09-19T14:35:19Z,AMC Neshaminy 24,ET,2026-09-19,Saturday,3:30pm,146414302,Open Caption (On-screen Subtitles),11.99,9.59,10.79,2.69,"{""Adult"":11.99,""Child"":9.59,""Senior"":10.79}",9886
2026-09-18,2026-09-19T14:35:20Z,AMC Highwoods 20,ET,2026-09-18,Friday,5:30pm,147182566,Open Caption (On-screen Subtitles),13.43,10.2,11.81,2.69,"{""Adult"":13.43,""Child"":10.2,""Senior"":11.81}",9142
2026-09-18,2026-09-19T14:35:21Z,AMC Highwoods 20,ET,2026-09-18,Friday,9:30pm,147182810,Laser at AMC,13.43,10.2,11.81,2.69,"{""Adult"":13.43,""Child"":10.2,""Senior"":11.81}",9219
2026-09-18,2026-09-19T14:35:22Z,AMC Highwoods 20,ET,2026-09-20,Sunday,4:00pm,147182704,English Spoken with Spanish Subtitles,13.43,10.2,11.81,2.69,"{""Adult"":13.43,""Child"":10.2,""Senior"":11.81}",9196
2026-09-18,2026-09-19T14:35:23Z,AMC Northlake 14,ET,2026-09-18,Friday,8:30pm,146547503,Dolby Cinema at AMC,21.64,18.39,20.02,2.99,"{""Adult"":21.64,""Child"":18.39,""Senior"":20.02}",9339
2026-09-18,2026-09-19T14:35:24Z,AMC Northlake 14,ET,2026-09-18,Friday,9:15pm,146547416,IMAX at AMC,21.1,17.85,19.47,2.99,"{""Adult"":21.1,""Child"":17.85,""Senior"":19.47}",9317
2026-09-18,2026-09-19T14:35:25Z,AMC Northlake 14,ET,2026-09-18,Friday,10:15pm,146547534,Thrills & Chills,15.14,11.9,13.52,2.69,"{""Adult"":15.14,""Child"":11.9,""Senior"":13.52}",9282
2026-09-18,2026-09-19T14:35:26Z,AMC Brunswick Square 13,ET,2026-09-18,Friday,9:30pm,146596874,Thrills & Chills,16.52,13.32,14.92,2.69,"{""Adult"":16.52,""Child"":13.32,""Senior"":14.92}",9305
2026-09-18,2026-09-19T14:35:27Z,AMC Ritz 13,ET,2026-09-18,Friday,9:45pm,147173356,Thrills & Chills,15.79,12.52,14.16,2.69,"{""Adult"":15.79,""Child"":12.52,""Senior"":14.16}",9181
2026-09-18,2026-09-19T14:35:27Z,AMC Plymouth Meeting Mall 12,ET,2026-09-18,Friday,9:30pm,146557302,Laser at AMC,18.69,15.39,17.04,2.69,"{""Adult"":18.69,""Child"":15.39,""Senior"":17.04}",9386
2026-09-18,2026-09-19T14:35:28Z,AMC Plymouth Meeting Mall 12,ET,2026-09-20,Sunday,12:45pm,147148857,Open Caption (On-screen Subtitles),14.95,12.31,13.63,2.69,"{""Adult"":14.95,""Child"":12.31,""Senior"":13.63}",10365
2026-09-18,2026-09-19T14:35:30Z,AMC Holland 8,ET,2026-09-18,Friday,8:30pm,147038984,Thrills & Chills,11.49,8.49,9.99,2.69,"{""Adult"":11.49,""Child"":8.49,""Senior"":9.99}",9262
2026-09-18,2026-09-19T14:35:31Z,AMC Phipps Plaza 14,ET,2026-09-18,Friday,8:30pm,146427038,Laser at AMC,21.77,18.5,20.14,2.69,"{""Adult"":21.77,""Child"":18.5,""Senior"":20.14}",9344
2026-09-18,2026-09-19T14:35:32Z,AMC Phipps Plaza 14,ET,2026-09-18,Friday,9:45pm,146427166,Dolby Cinema at AMC,28.3,25.04,26.67,2.99,"{""Adult"":28.3,""Child"":25.04,""Senior"":26.67}",9375
2026-09-18,2026-09-19T14:35:33Z,AMC Camp Hill 12,ET,2026-09-18,Friday,9:30pm,146491766,Thrills & Chills,12.49,9.49,10.99,2.69,"{""Adult"":12.49,""Child"":9.49,""Senior"":10.99}",9174
2026-09-18,2026-09-19T14:35:35Z,AMC Camp Hill 12,ET,2026-09-20,Sunday,4:30pm,146491764,Open Caption (On-screen Subtitles),12.49,9.49,10.99,2.69,"{""Adult"":12.49,""Child"":9.49,""Senior"":10.99}",9119
2026-09-18,2026-09-19T14:35:36Z,AMC Northgate 14,ET,2026-09-18,Friday,9:00pm,146821846,Thrills & Chills,14.19,10.91,12.55,2.69,"{""Adult"":14.19,""Child"":10.91,""Senior"":12.55}",9207
2026-09-18,2026-09-19T14:35:37Z,AMC River Hills 10,ET,2026-09-18,Friday,8:30pm,147135866,Thrills & Chills,13.9,10.69,12.29,2.69,"{""Adult"":13.9,""Child"":10.69,""Senior"":12.29}",9257
2026-09-18,2026-09-19T14:35:38Z,AMC Voorhees 16,ET,2026-09-18,Friday,8:25pm,147132537,Thrills & Chills,14.38,11.18,12.78,2.69,"{""Adult"":14.38,""Child"":11.18,""Senior"":12.78}",9199
2026-09-18,2026-09-19T14:35:39Z,AMC Voorhees 16,ET,2026-09-20,Sunday,4:25pm,146525337,Open Caption (On-screen Subtitles),14.38,11.18,12.78,2.69,"{""Adult"":14.38,""Child"":11.18,""Senior"":12.78}",9149
2026-09-18,2026-09-19T14:35:40Z,AMC Huntington Square 12,ET,2026-09-18,Friday,8:00pm,146553011,PRIME at AMC,24.49,21.49,22.99,2.99,"{""Adult"":24.49,""Child"":21.49,""Senior"":22.99}",9373
2026-09-18,2026-09-19T14:35:41Z,AMC Huntington Square 12,ET,2026-09-18,Friday,9:00pm,146553004,Laser at AMC,18.49,15.49,16.99,2.69,"{""Adult"":18.49,""Child"":15.49,""Senior"":16.99}",9375
2026-09-18,2026-09-19T14:35:42Z,AMC Huntington Square 12,ET,2026-09-18,Friday,9:30pm,146552956,Dolby Cinema at AMC,24.49,21.49,22.99,2.99,"{""Adult"":24.49,""Child"":21.49,""Senior"":22.99}",9381
2026-09-18,2026-09-19T14:35:42Z,AMC Sugarloaf Mills 18,ET,2026-09-18,Friday,8:15pm,147165443,XL at AMC,19.07,15.89,17.48,2.99,"{""Adult"":19.07,""Child"":15.89,""Senior"":17.48}",9261
2026-09-18,2026-09-19T14:35:44Z,AMC Sugarloaf Mills 18,ET,2026-09-18,Friday,7:45pm,147225862,Laser at AMC,16.95,13.77,15.36,2.69,"{""Adult"":16.95,""Child"":13.77,""Senior"":15.36}",9304
2026-09-18,2026-09-19T14:35:45Z,AMC Sugarloaf Mills 18,ET,2026-09-18,Friday,10:00pm,146406433,Dolby Cinema at AMC,23.31,20.13,21.72,2.99,"{""Adult"":23.31,""Child"":20.13,""Senior"":21.72}",9328
2026-09-18,2026-09-19T14:35:46Z,AMC Sugarloaf Mills 18,ET,2026-09-18,Friday,10:30pm,147165548,Spanish Language Dubbed with No Subtitles,16.95,13.77,15.36,2.69,"{""Adult"":16.95,""Child"":13.77,""Senior"":15.36}",9300
2026-09-18,2026-09-19T14:35:47Z,AMC Crystal Run 16,ET,2026-09-18,Friday,8:30pm,147140477,Laser at AMC,18.99,15.99,17.49,2.69,"{""Adult"":18.99,""Child"":15.99,""Senior"":17.49}",9363
2026-09-18,2026-09-19T14:35:49Z,AMC Crystal Run 16,ET,2026-09-19,Saturday,6:15pm,147154341,Spanish Language Dubbed with No Subtitles,18.99,15.99,17.49,2.69,"{""Adult"":18.99,""Child"":15.99,""Senior"":17.49}",9360
2026-09-18,2026-09-19T14:35:49Z,AMC Waterfront 22,ET,2026-09-18,Friday,8:20pm,147180370,PRIME at AMC,17.99,14.99,16.49,2.99,"{""Adult"":17.99,""Child"":14.99,""Senior"":16.49}",9302
2026-09-18,2026-09-19T14:35:50Z,AMC Waterfront 22,ET,2026-09-18,Friday,8:45pm,146536697,Laser at AMC,13.99,10.99,12.49,2.69,"{""Adult"":13.99,""Child"":10.99,""Senior"":12.49}",9307
2026-09-18,2026-09-19T14:35:51Z,AMC Waterfront 22,ET,2026-09-18,Friday,9:30pm,146536384,IMAX with Laser at AMC,18.99,15.99,17.49,2.99,"{""Adult"":18.99,""Child"":15.99,""Senior"":17.49}",9315
2026-09-18,2026-09-19T14:35:53Z,AMC Waterfront 22,ET,2026-09-18,Friday,10:15pm,146536314,Dolby Cinema at AMC,18.99,15.99,17.49,2.99,"{""Adult"":18.99,""Child"":15.99,""Senior"":17.49}",9348
2026-09-18,2026-09-19T14:35:55Z,AMC Waterfront 22,ET,2026-09-20,Sunday,12:40pm,147180529,English Spoken with Spanish Subtitles,11.19,8.79,9.99,2.69,"{""Adult"":11.19,""Child"":8.79,""Senior"":9.99}",10013
2026-09-18,2026-09-19T14:35:56Z,AMC Indian Mound 9,ET,2026-09-18,Friday,9:15pm,147102243,Thrills & Chills,12.49,9.49,10.99,2.69,"{""Adult"":12.49,""Child"":9.49,""Senior"":10.99}",9250
2026-09-18,2026-09-19T14:35:58Z,AMC Assembly Row 12,ET,2026-09-18,Friday,7:30pm,146543998,IMAX with Laser at AMC,23.49,20.49,21.99,2.99,"{""Adult"":23.49,""Child"":20.49,""Senior"":21.99}",9413
2026-09-18,2026-09-19T14:35:58Z,AMC Assembly Row 12,ET,2026-09-18,Friday,8:30pm,146544128,Laser at AMC,17.49,14.49,15.99,2.69,"{""Adult"":17.49,""Child"":14.49,""Senior"":15.99}",9365
2026-09-18,2026-09-19T14:35:59Z,AMC Assembly Row 12,ET,2026-09-18,Friday,9:15pm,146544035,Dolby Cinema at AMC,23.49,20.49,21.99,2.99,"{""Adult"":23.49,""Child"":20.49,""Senior"":21.99}",9375
2026-09-18,2026-09-19T14:36:00Z,AMC Chattanooga 18,ET,2026-09-18,Friday,7:40pm,146616913,Thrills & Chills,14.19,10.91,12.55,2.69,"{""Adult"":14.19,""Child"":10.91,""Senior"":12.55}",9208
2026-09-18,2026-09-19T14:36:01Z,AMC Chattanooga 18,ET,2026-09-18,Friday,9:15pm,146616889,IMAX at AMC,19.65,16.38,18.02,2.99,"{""Adult"":19.65,""Child"":16.38,""Senior"":18.02}",9301
2026-09-18,2026-09-19T14:36:02Z,AMC Chattanooga 18,ET,2026-09-19,Saturday,1:30pm,146616908,Open Caption (On-screen Subtitles),11.35,8.73,10.04,2.69,"{""Adult"":11.35,""Child"":8.73,""Senior"":10.04}",9855
2026-09-18,2026-09-19T14:36:02Z,AMC Chattanooga 18,ET,2026-09-20,Sunday,1:00pm,146616905,Spanish Language Dubbed with No Subtitles,11.35,8.73,10.04,2.69,"{""Adult"":11.35,""Child"":8.73,""Senior"":10.04}",10140
2026-09-18,2026-09-19T14:36:03Z,AMC Riverview 14,ET,2026-09-18,Friday,8:30pm,146545718,Thrills & Chills,17.19,13.96,15.58,2.69,"{""Adult"":17.19,""Child"":13.96,""Senior"":15.58}",9270
2026-09-18,2026-09-19T14:36:05Z,AMC Riverview 14,ET,2026-09-18,Friday,9:15pm,146545679,GDX,23.64,20.41,22.03,2.99,"{""Adult"":23.64,""Child"":20.41,""Senior"":22.03}",9307
2026-09-18,2026-09-19T14:36:07Z,AMC Bradenton 20,ET,2026-09-18,Friday,5:00pm,146581131,Open Caption (On-screen Subtitles),14.43,11.22,12.83,2.69,"{""Adult"":14.43,""Child"":11.22,""Senior"":12.83}",9197
2026-09-18,2026-09-19T14:36:09Z,AMC Bradenton 20,ET,2026-09-18,Friday,9:45pm,146581115,Laser at AMC,14.43,11.22,12.83,2.69,"{""Adult"":14.43,""Child"":11.22,""Senior"":12.83}",9270
2026-09-18,2026-09-19T14:36:10Z,AMC Bradenton 20,ET,2026-09-18,Friday,10:30pm,147155016,English Spoken with Spanish Subtitles,14.43,11.22,12.83,2.69,"{""Adult"":14.43,""Child"":11.22,""Senior"":12.83}",9243
2026-09-18,2026-09-19T14:36:11Z,AMC Indianapolis 17,ET,2026-09-18,Friday,7:40pm,146451472,IMAX at AMC,20.99,17.99,19.49,2.99,"{""Adult"":20.99,""Child"":17.99,""Senior"":19.49}",9227
2026-09-18,2026-09-19T14:36:13Z,AMC Indianapolis 17,ET,2026-09-18,Friday,8:40pm,146451411,Thrills & Chills,15.49,12.49,13.99,2.69,"{""Adult"":15.49,""Child"":12.49,""Senior"":13.99}",9252
2026-09-18,2026-09-19T14:36:15Z,AMC Indianapolis 17,ET,2026-09-18,Friday,9:30pm,146451328,Dolby Cinema at AMC,21.99,18.99,20.49,2.99,"{""Adult"":21.99,""Child"":18.99,""Senior"":20.49}",9351
2026-09-18,2026-09-19T14:36:15Z,AMC Indianapolis 17,ET,2026-09-19,Saturday,3:20pm,146451409,Open Caption (On-screen Subtitles),12.39,9.99,11.19,2.69,"{""Adult"":12.39,""Child"":9.99,""Senior"":11.19}",10147
2026-09-18,2026-09-19T14:36:17Z,AMC Boston Common 19,ET,2026-09-18,Friday,7:45pm,146567105,Dolby Cinema at AMC,23.99,20.99,22.49,2.99,"{""Adult"":23.99,""Child"":20.99,""Senior"":22.49}",9362
2026-09-18,2026-09-19T14:36:17Z,AMC Boston Common 19,ET,2026-09-18,Friday,5:30pm,147030441,English Spoken with Spanish Subtitles,17.49,14.49,15.99,2.69,"{""Adult"":17.49,""Child"":14.49,""Senior"":15.99}",9252
2026-09-18,2026-09-19T14:36:18Z,AMC Boston Common 19,ET,2026-09-18,Friday,9:00pm,146567080,Laser at AMC,17.49,14.49,15.99,2.69,"{""Adult"":17.49,""Child"":14.49,""Senior"":15.99}",9286
2026-09-18,2026-09-19T14:36:19Z,AMC Boston Common 19,ET,2026-09-18,Friday,9:45pm,146566946,IMAX with Laser at AMC,23.99,20.99,22.49,2.99,"{""Adult"":23.99,""Child"":20.99,""Senior"":22.49}",9437
2026-09-18,2026-09-19T14:36:20Z,AMC Boston Common 19,ET,2026-09-19,Saturday,12:45pm,146567074,Open Caption (On-screen Subtitles),13.99,11.59,12.79,2.69,"{""Adult"":13.99,""Child"":11.59,""Senior"":12.79}",10219
2026-09-18,2026-09-19T14:36:22Z,AMC Cherry Blossom 14,ET,2026-09-18,Friday,9:00pm,147040053,Thrills & Chills,13.99,10.99,12.49,2.69,"{""Adult"":13.99,""Child"":10.99,""Senior"":12.49}",9174
2026-09-18,2026-09-19T14:36:24Z,AMC Cherry Blossom 14,ET,2026-09-18,Friday,9:40pm,146594916,IMAX at AMC,19.49,16.49,17.99,2.99,"{""Adult"":19.49,""Child"":16.49,""Senior"":17.99}",9267
2026-09-18,2026-09-19T14:36:24Z,AMC Rockaway 16,ET,2026-09-18,Friday,8:00pm,146553606,Dolby Cinema at AMC,24.51,21.31,22.91,2.99,"{""Adult"":24.51,""Child"":21.31,""Senior"":22.91}",9347
2026-09-18,2026-09-19T14:36:25Z,AMC Rockaway 16,ET,2026-09-18,Friday,6:30pm,147053784,Laser at AMC,17.05,13.85,15.45,2.69,"{""Adult"":17.05,""Child"":13.85,""Senior"":15.45}",9229
2026-09-18,2026-09-19T14:36:26Z,AMC Rockaway 16,ET,2026-09-18,Friday,9:30pm,146553547,IMAX with Laser at AMC,24.51,21.31,22.91,2.99,"{""Adult"":24.51,""Child"":21.31,""Senior"":22.91}",9385
2026-09-18,2026-09-19T14:36:27Z,AMC Rockaway 16,ET,2026-09-18,Friday,11:00pm,147054168,XL at AMC,19.18,15.98,17.58,2.99,"{""Adult"":19.18,""Child"":15.98,""Senior"":17.58}",9220
2026-09-18,2026-09-19T14:36:27Z,AMC Sundial 12,ET,2026-09-18,Friday,7:45pm,146586790,Laser at AMC,16.04,12.83,14.43,2.69,"{""Adult"":16.04,""Child"":12.83,""Senior"":14.43}",9342
2026-09-18,2026-09-19T14:36:28Z,AMC Sundial 12,ET,2026-09-18,Friday,8:30pm,146586707,PRIME at AMC,21.39,18.18,19.78,2.99,"{""Adult"":21.39,""Child"":18.18,""Senior"":19.78}",9341
2026-09-18,2026-09-19T14:36:29Z,AMC Sundial 12,ET,2026-09-18,Friday,9:35pm,146586759,IMAX with Laser at AMC,22.46,19.25,20.85,2.99,"{""Adult"":22.46,""Child"":19.25,""Senior"":20.85}",9419
2026-09-18,2026-09-19T14:36:31Z,AMC Jefferson Point 18,ET,2026-09-18,Friday,8:20pm,146603404,Thrills & Chills,13.49,10.49,11.99,2.69,"{""Adult"":13.49,""Child"":10.49,""Senior"":11.99}",9193
2026-09-18,2026-09-19T14:36:32Z,AMC Jefferson Point 18,ET,2026-09-18,Friday,9:50pm,147161201,IMAX at AMC,18.49,15.49,16.99,2.99,"{""Adult"":18.49,""Child"":15.49,""Senior"":16.99}",9289
2026-09-18,2026-09-19T14:36:32Z,AMC Jefferson Point 18,ET,2026-09-20,Sunday,9:00pm,146603416,English Spoken with Spanish Subtitles,13.49,10.49,11.99,2.69,"{""Adult"":13.49,""Child"":10.49,""Senior"":11.99}",9202
2026-09-18,2026-09-19T14:36:35Z,AMC Braintree 10,ET,2026-09-18,Friday,8:30pm,146861891,Laser at AMC,18.49,15.49,16.99,2.69,"{""Adult"":18.49,""Child"":15.49,""Senior"":16.99}",9344
2026-09-18,2026-09-19T14:36:36Z,AMC Braintree 10,ET,2026-09-18,Friday,9:45pm,146525098,PRIME at AMC,24.49,21.49,22.99,2.99,"{""Adult"":24.49,""Child"":21.49,""Senior"":22.99}",9359
2026-09-18,2026-09-19T14:36:37Z,AMC Clifton Commons 16,ET,2026-09-18,Friday,8:45pm,146483032,Laser at AMC,18.12,14.92,16.52,2.69,"{""Adult"":18.12,""Child"":14.92,""Senior"":16.52}",9279
2026-09-18,2026-09-19T14:36:38Z,AMC Clifton Commons 16,ET,2026-09-18,Friday,9:30pm,146483023,IMAX with Laser at AMC,25.05,21.85,23.45,2.99,"{""Adult"":25.05,""Child"":21.85,""Senior"":23.45}",9415
2026-09-18,2026-09-19T14:36:38Z,AMC Clifton Commons 16,ET,2026-09-18,Friday,10:15pm,146482987,Dolby Cinema at AMC,25.05,21.85,23.45,2.99,"{""Adult"":25.05,""Child"":21.85,""Senior"":23.45}",9360
2026-09-18,2026-09-19T14:36:39Z,AMC Clifton Commons 16,ET,2026-09-20,Sunday,6:15pm,146483039,English Spoken with Spanish Subtitles,18.12,14.92,16.52,2.69,"{""Adult"":18.12,""Child"":14.92,""Senior"":16.52}",9279
